SlNo,Institute
,Padmashri Dr. Vithalrao Vikhe Patil College Of Engineering
459,Backward Class Youth Relief Committee Umrer Polytechnic Umrer
461,R. C. Patel Institute Of Technology
,RC Patel Institute Of Technology
,R C Patel Institute Of Technology
493,Pimpri Chinchwad Polytechnic
522,D.K.T.E.Society'S Textile & Engineering Institute
,D.K.T.E. Society'S Textile and Engineering Institute
,DKTE Society's Textile & Engineering Institute
529,Gangamai College Of Engineering
533,Poojya Sane Guruji Vidya Prasarak Mandal'S G. M. Chaudhari
,Poojya Sane Guruji Vidya Prasarak Mandal's G M Chaudhari
552,INS Shivaji
555,Shri Babulalji Agnihotri College Of Engineering
556,College Of Engg. & Tech.
,College of Engineering & Technology
,College of Engineering and Technology
564,Dr.J.J.Magdum Polytechnic Jaysingpur
,Dr J J Magdum Polytechnic Jaysingpur
569,College Of Military Engineering
574,Cusrow Wadia Institute Of Technology
577,Shivajirao S. Jondhle College Of Engineering &Technology
,Shivajirao S Jondhale College of Engineering
588,Amrutvahini Polytechnic
594,Government Polytechnical
612,Jayawantrao Sawant Polytechnic
621,K.J.Somaiya Polytechnic
,K J Somaiya Polytechnic
663,Department Of Chemical Technology
680,Agnel Technical College
704,M.G.M'S College Of Engineering
721,Aditya Polytechnic Beed
736,Goa College Of Engineering
738,Shree Rayeshwar Institute Of Engineering And Information Technology
,Shree Rayeshwar Institute Of Engineering & Information Technology
739,Padre Conceicao College Of Engineering
2,Dnyanganga College Of Engineering & Research
,Dnyanganga College Of Engineering and Research
4,Shri Shivaji Vidya Prasarak Sanstha'S Late Bapusaheb Shivajirao Deore College Of Engineering
6,Bapurao Deshmukh College Of Engineering
7,Amrutvahini College Of Engineering
9,Vidya Pratishthans Institute Of Formation Technology
15,Khurana Sawant Institute Of Engineering & Technology
,Khurana Sawant Institute Of Engineering and Technology
17,Backward Class Youth Relief Committee'S Umrer College Of Engineering
21,Dilkap Research Institute Of Engineering And Management Studies
24,Wainganga College Of Engineering And Management
25,Pimpri Chinchwad College Of Engineering
26,Shatabdi Institue Of Engineering & Research
,Shatabdi Institue Of Engineering and Research
27,Shri Gulabrao Deokar College Of Engineering
28,Vidya Vikas Pratishthan Institute Of Engineering & Technology
,Vidya Vikas Pratishthan Institute Of Engineering and Technology
29,K. J. Somaiya College Of Engineering
,K J Somaiya College Of Engineering
32,Shri Sai College Of Engineering & Technology
,Shri Sai College Of Engineering and Technology
34,Bharati Vidyapeeth Deemed University College Of Engineering
35,OM College Of Engineering
38,Dr. Bhausaheb Nandurkar College Of Engg.
39,Priyadarshani College Of Engineering
43,Dhamangaon Education Society'S College Of Engineering & Technology
,Dhamangaon Education Society'S College Of Engineering and Technology
47,P. R. Pote(Patil) Education & Welfare Trust'S Group Of Institutions
,P R Pote(Patil) Education & Welfare Trust'S Group Of Institutions
,P. R. Pote(Patil) Education and Welfare Trust'S Group Of Institutions
48,Jayawantrao Sawant College Of Engineering
49,Theem College Of Engineering
51,Dr. J. J. Magdum College Of Engineering
,Dr J J Magdum College Of Engineering
52,Fabtech Technical Campus College Of Engineering And Research
53,Sinhgad Institute Of Technology And Science
55,Saraswati Education Society's Group Of Institutions Faculty Of Engineering And Faculty Of Management
61,Ballarpur Institute Of Technology
64,Kalyani Charitable Trust'S Late G. N. Sapkal College Of Engineering
,Kalyani Charitable Trust'S Late G N Sapkal College Of Engineering
67,Sinhgad College Of Engineering
69,Veermata Jijau Women's Enggineering College
70,Matoshri Pratishthan'S Group Of Institution School Of Engineering And School Of Management
72,Sanmati Engineering College
73,Marathwada Shikshan Prasarak Mandal'S Group Of Institutions
74,Fr. C. Rodrigues Institute Of Technology
78,Suman Ramesh Tulsiani Technical Campus: Faculty Of Engineering
79,G. H. Raisoni Institute Of Engineering & Management
80,Smt. Bhagwati Chaturvedi College Of Engineering
81,Dr. D. Y. Patil Institute Of Engineering And Technology
82,Koti Vidya Charitable Trust'S Alamuri Ratnamala Institute Of Engineering And Technology
83,G. H. Raisoni Institute Of Engineering & Technology
85,Nyss College Of Engineering & Research
86,J D College Of Engineering
90,Matoshri College Of Engineering & Research Centre
91,Dr. D. Y. Patil College Of Engineering
92,TSSM'S Bhivarabai Sawant College Of Engineering And Research
94,JSPM'S Bhivarabai Sawant Institute Of Technology And Research
96,Suryodaya College Of Engineering & Technology
98,Savitribai Phule Womens Engineering College
99,Padmashri Dr. V.B. Kolte College Of Engineering
,Padmashri Dr. V B Kolte College Of Engineering
102,Shatabdi Institute Of Technology
104,Jayawant Institute Of Technology
109,V M Institute Of Engineering & Technology
110,Namdeorao Poreddiwar College Of Engineering And Technology
117,Bhausaheb Mulik College Of Engineering
118,SVSS College Of Engineering & Research
122,Poojya Sane Guruji Vidya Prasarak Mandal'S D. N. Patel College Of Engineering
,Poojya Sane Guruji Vidya Prasarak Mandal'S D N Patel College Of Engineering
123,K.T.Patil College Of Engineeging & Technology
,K T Patil College Of Engineering & Technology
,K T Patil College Of Engineering and Technology
,K.T.Patil College Of Engineeging and Technology
124,Sharad Institute Of Technology College Of Engineering
127,Pradnya Niketan Education Society
130,P.Dr.V.V.P.Institute Of Techonology & Engineering
,P.Dr. V.V.P.Institute Of Techonology and Engineering
131,Department Of Technology
133,Krantiveer Vasantrao Narayanrao Naik Institute Of Engineering Education And Reserch
134,A.B.M.S.P'S College Of Engineering & Research
,Anantrao Pawar College Of Engineering & Research
,A.B.M.S.P'S College Of Engineering and Research
139,Smt. S. H. Mansukhani Institute Of Technology
,Smt S H Mansukhani Institute Of Technology
143,Arvind Gavali College Of Engineering
145,Shri Saibaba Institute Of Engineering
146,Tulsiramji Gaikwad-Patil College Of Engineering And Technology
148,Maharashtra Institute Of Technology
155,Vidya Niketan Institute Of Engineering And Technology
157,Saraswati College
160,Sanjivani Rural Education Society's College Of Engineering
162,Dr.Daulatrao Aher College Of Engineering
,Dr Daulatrao Aher College Of Engineering
163,Datta Meghe Institute Of Engineering Technology And Research
164,Pillai'S Hoc College Ofengineering And Technology
166,Sandip Institute Of Engineering & Management
174,Suresh Deshmukh College Of Engineering
181,S K N Sinhgad College Of Engineering
185,Kdmg'S Dr.Uttamrao Mahajan Institute Of Engineering & Technology
,Dr Uttamrao Mahajan Institute of Engineering and Technology 
188,Shri Siddheshwar Devasthan Trusts
189,Symbiosis Institute Of Technology
194,Jaihind College Of Engineering
196,Sanjivani Pratisthan Institute Of Technology
198,Sharadchandra Pawar College Of Engineering
199,G.H.Raisoni Academy Of Engineering & Technology
200,Shri Chhatrapati Shivajiraje College Of Engineering
203,Abha College Of Engineering
205,Purandar College Of Engineering & Management Research
206,JSPM Narhe Technical Campus
207,International Institute Of Information Technology
211,Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus
212,Shreeyash Pratishthan'S
215,Institute Of Management Technology
220,Institute Of Technology And Engineering
223,Shri Ambabai Talim Sanstha'S Sanjay Bhokre Group Of Institutes
226,Sinhgad Institute Of Business Administration & Computer Application
229,VIVA Institute Of Technology
230,S.G.R Education Foundation'S College Of Engineering & Management
,S.G.R Education Foundation'S College Of Engineering and Management
231,Chaitanya Bahu Uddeshiya Sanstha'S College Of Engineering And Management
,Chaitanya Bahu Uddeshiya Sanstha'S College Of Engineering & Management
232,International Centre Of Excellence In Engineering & Management
,International Centre Of Excellence In Engineering and Management
233,Navsahyadri Education Society'S Group Of Institutions
234,Flora Institute Of Technology
235,Dr. Manoj A. Shete College Of Engineering And Technology
,Dr Manoj A. Shete College Of Engineering and technology
237,Suryodaya Institute Of Engineering And Polytechnic
238,Y.D.Mane Institute Of Technology
,Y D Mane Institute Of Technology
239,Institute Of Knowledge-College Of Engineering
242,Shree Santkrupa Institute Of Engineering & Technology
,Shree Santkrupa Institute Of Engineering and Technology
243,Skn Sinhgad Institute Of Technology & Science
,Skn Sinhgad Institute Of Technology and Science
244,Karmayogi Polytechnic College
245,Vivekanand Education Society'S Institute Of Technology
246,Samarth Group Of Institutions
247,Institute Of Information Technology & Management
,Institute Of Information Technology and Management
249,Audyogik Shikshan Mandal'S Institute Of Professional Studies
250,Nbn Sinhgad Technical Institutes Campus
253,Hi-Tech Institute Of Technology
254,Sinhgad Institute Of Computer Sciences
256,Nanasaheb Mahadik College Of Engineering
260,N. B. Navale Sinhgad College Of Engineering
,N B Navale Sinhgad College Of Engineering
262,Leelavati Awhad Institute Of Technology M S & R
263,Siddhivinayak Technical Campus
267,Universal College Of Engineering & Research
,Universal College Of Engineering and Research
269,Hon. Ajitdada Pawar Diploma Engineering College
,Honorable Ajitdada Pawar Diploma Engineering College
270,Dr. N. J. Paulbudhe Institute Of Technology
,Dr N J Paulbudhe Institute Of Technology
271,St. Wilfreds Institute Of Technology
272,Vishnuanna Patil Institute Of Engineering And Technology
,Vishnuanna Patil Institute Of Engineering & Technology
273,Bhagwant Institute Of Technology
274,Sahyadri Valley College Of Engineering & Technology
,Sahyadri Valley College Of Engineering and Technology
275,Shri. Shivajirao Deshmukh Institute Of Technology
278,Shri V. D. Deshmukh College Of Mca
,Shri V D Deshmukh College Of Mca
280,Kirsan'S Mission Institute Of Management
282,Vishwatmak Om Gurudev College Of Engineering
283,Central Institute Of Plastics Engineering & Technology
,Central Institute Of Plastics Engineering and Technology
284,Akole Taluka Education Society'S Technical Campus
285,Sahakar Maharshi Shankarrao Mohite-Patil Institute Of Technology & Research
,Sahakar Maharshi Shankarrao Mohite-Patil Institute Of Technology and Research
288,Maharashtra Academy Of Engineering And Educational Research
292,Aditya Engineering College
299,G. M. Vedak Institute Of Technology
,G M Vedak Institute Of Technology
301,Maharashtra Mudran Parishads' Institute Of Printing Technology & Research
,Maharashtra Mudran Parishads' Institute Of Printing Technology and Research
302,Dr. Bapuji Salunkhe Institute Of Engineering And Technology
,Dr Bapuji Salunkhe Institute Of Engineering And Technology
303,S Late Narayandas Bhawandas Chhabada Institute Of Engineering
,Late Narayandas Bhawandas Chhabada Inst of Engg. & Tech.
309,Jagadambha College Of Engg & Technology
,Jagadambha College Of Engineering & Technology
,Jagadhambha College Of Engineering and Technology
310,Sanjeevan Engineering & Technology Institute
313,D.K.T.E. Society'S Textile & Engineering Institute
,DKTE Society's Textile & Engineering Institute
317,Acharya Vinoba Bhave Institute Of Technology
318,Jhulelal Institute Of Technology
321,Shivajirao S Jondhale College Of Engineering
322,Vidya Pratishthan'S College Of Engineering Baramati
323,St. John College Of Engineering And Technology
326,Late Narayandas Bhawandas Chhabada Institute Of Technology
328,Bharati Vidyapeeth Instituteof Technology
331,Shri Shivaji Shikshan Prasarak Mandal
335,Alard College Of Engineering & Management
336,P.R.Patil College Of Engineering & Technology
,P R Patil College Of Engineering & Technology
337,Dr.Varsha Patil Institute Of Technology
341,W.K.B.S.Mandal'S Dr. Suryakanta R. Ajmera Mca College For Women
,WKBS Mandal's Dr Suryakanta R Ajmera Mca College
346,Govindrao Wanjari College Of Engineering & Technology
,Govindrao Wanjari College Of Engineering and Technology
347,Yadavrao Tasgaonkar Institute Of Engineering And Technology
,Yadavrao Tasgaonkar Institute Of Engineering & Technology
348,Rajarshi Shahu Maharaj Polytechnic
349,Adarsh Shikshan Prasarak Mandal'S K.T.Patil College Ofmba
354,P.G. Deptt. Of Comp. Sci. & Tech.
,P G Dept. Of Comp. Sci. and Tech.
360,Central India College Of Engineering And Technology
361,Dr.Sau.Kamaltai Gawai Institute Of Engineering & Technology
362,Vidarbha Institute Of Technology
363,G.H.Raisoni Institute Of Information Technology
364,Nutan Maharashtra Instituteof Engineering & Technology
365,Matoshri Institute Of Technology
366,Nav Vidya Niketan Institute Of Technology
368,Nagpur Institute Of Technology
369,Government College Of Engineering
373,Rajarshi Shahu College Of Engineering
376,Nuva College Of Engineering& Technology
382,St. Xavier'S Technical Institute
386,Dhole Patil Education Society'S
387,S. B. Patil College Of Engineering
,S B Patil College Of Engineering
390,Vilasrao Deshmukh College Of Engineering & Technology
391,Phaltan Education Society'S College Of Engineering
392,J.L.Chaturvedi College Of Engineering
,J L Chaturvedi College Of Engineering
395,Pune Vidyarthi Griha'S College Of Engineering And Technology
400,Marathwada Mitra Mandal'S College Of Engineering
401,Re Vera Institute Of Technology
403,Shree Mahavir Edu. Society'S Institute Of Technology
407,Guru Nanak Institute Of Engineering & Management
409,Guru Nanak Institute Of Engineering & Technology
411,J.M.Patel College Of Computer Science
,J M Patel College Of Computer Science
412,Rajiv Gandhi Institute Of Technology
416,Trinity College Of Engineering & Research
,Trinity College Of Engineering and Research
418,D.Y.Patil College Of Engg.& Tech. Dept. Of Arch.
,D Y Patil College Of Engineering & Technology
421,Ssbt'S College Of Engineering & Technology
,SSBT'S College Of Engineering and Technology
424,Genba Sopanrao Moze Institute Of Technology
443,Technical And Medical Education Society'S J. T. Mahajan Polytechnic
444,The Peoples Education Society'S Diploma College Of Engineering & Technology
,PES University
,The Peoples Education Societys Diploma College Of Engineering and Technology
446,Gokhale Education Society'S College Of Engineering
449,Bharati Vidyapeeth'S Institute Of Technology
452,Hon.Shri Babanrao Pachpute Vichardhara Trust'S Group Of Institutions
454,Government College Of Engineering And Research
463,Nashik District Maratha Vidya Prasarak Samaj'S Karmaveer Baburao Ganpatrao Thakare College Of Engineering
464,G. H. Raisoni Institute Of Information Technology And Computing Research
468,Jamia Institute Of Engineering And Management Studies
469,Madhukarrao Pandav College Of Engineering
480,Let. Dr. D. B. Dod College Of Engineering
,Late Dr. D. B. Dod College of Engineering
483,Abhinav Education Society'S College Of Engineering And Technology
484,Apex Group Of Institutes
485,Institute Of Civil And Rural Engineering
486,G V Acharya Institute Of Engineering And Technology
488,Shriram Institute Of Engineering And Technology
489,Kinkar Institute Of Technology
490,ITM College Of Engineering
496,Shri Shankarrao Chavhan Institute Of Technology
502,Shanti Education Society'S
503,Sheth Shri Otarmal Sheshmal Parmar College Of Diploma Engg.
504,Satara College Of Engineering & Management Limb
506,Navinchandra Mehta Institute Of Technology And Development
508,Institute Of Technology
511,Brahma Valley College Of Technical Education
514,Sandipani Technical And Medical Education Institute'S Sandipani Technical Campus - Faculty Of Engineering
518,Smt.Rajshree Mulak College of Engineering For Women
,Smt Rajshree Mulak College of Engineering For Women
520,Ambarwadikar'S Institute Of Technology
523,Pad.Dr.D.Y.Patil Institute Of Master Of Computer Applications
,Dr. D. Y. Patil Institute of Master of Computer Applications
527,Msamb'S Institute Of Technology
530,Dr. A.D.Shinde Institute Of Technology
,Dr A D Shinde Institute Of Technology
531,MKSSS'S Cummins College Of Engineering For Women
,Cummins College of Engineering for women
532,Manoharbhai Patel Institute Of Engineering & Technology
,Manoharbhai Patel Institute Of Engineering and Technology
538,Mandar Education Society
542,Bhonsla College Of Engineering & Reasearch
,Bhonsla College Of Engineering and Reasearch
543,Kala Vidya Mandir Institute Of Technology
544,Aurangabad College Of Engineering
550,Sharadchandra Pawar Institute Of Engineering & Technology
,Sharadchandra Pawar Institute Of Engineering and Technology
553,D.Y.Patil College Of Engineering & Polytechnic
,D Y Patil College Of Engineering and Polytechnic
557,Hon Shri Babanrao Pachpute Vichardhra Trust'S Parikrama Polytechnic
559,Shriram Institute Of Engineering And Technology Centre
560,M.M.'S Babasaheb Gawde Institute Of Technology
,Maratha Mandir's Babasaheb Gawde Institute Of Technology
565,Shri Shankarprasad Agnihotri College Of Engineering
566,Laxminarayan Agrawal Memorial Institute Of Technology
568,Al-Ameen Educational & Medical Foundation'S College Of Engineering & Management Studies
570,Dnyanshree Institute Of Engineering And Technology
572,Late Hon Dasharathseth Raoji Kakade Rural Institute Of Engineering & Technology
573,Shri Shivaji Institute Of Engineering And Management Studies
576,S.N.Rai Institute Of Engg & Technology
,S N Rai Institute Of Engineering and Technology
578,Sau.Shantidevi Chavan Institute Of Engineering And Technology
583,Balaghat Engineering College
584,Shree L.R. Tiwari College Of Engineering
,Shree L R Tiwari College Of Engineering
586,Shri Sai College Of Engineering
587,Sanghavi College Of Engineering
591,Agnihotri College Of Engineering
604,Vasantrao Naik Institute Of Technology
605,SNJB College Of Engineering
609,Saket Institute Of Technology
613,Brahma Valley College Of Engineering And Reaserach Institute
614,Karmaveer Bhaurao Patil College Of Engineering & Polytechnic
,Karmaveer Bhaurao Patil College Of Engineering and Polytechnic
615,Vinayakrao Patil Shikshan Prasarak Mandal'S Institute Of Engineering And Technology
,Vinayakrao Patil Shikshan Prasarak Mandal'S Institute Of Engineering & Technology
616,Bharat Ratna Lata Mangeshkar College Of Engineering And Technology
,Bharat Ratna Lata Mangeshkar College Of Engineering & Technology
617,Pravin Patil College Of Diploma Engineering & Technology
,Pravin Patil College Of Diploma Engineering and Technology
620,Vidyavardhini Institute Of Technology
622,Viva College Of Diploma Engineering And Technology
,Viva College Of Diploma Engineering & Technology
624,C. S. Institute Of Technology
,C S Institute Of Technology
630,Vishwabharati Academy'S College Of Engineering
632,Phoenix Institute Of Technology
,Kalawatibai College Of Engineering & Technology
639,Kalawatibai College Of Engg & Tech
641,M. D. Jadhav Institute Of Technology
,M D Jadhav Institute Of Technology
648,College Of Engineering Vairag
657,Trimurti Institute Of Technology
659,Ashok Institute Of Engineering And Technology
661,Vidya Institute Of Technology
664,Dr Babasaheb Ambedkar Technological University Institute Of Petrochemical Engineering
666,Anand Charitable Sansta'S Diploma In Engineering & Technology
,Anand Charitable Sansta'S Diploma In Engineering and Technology
668,Nandigram Institute Of Technology
669,Shri Pandit Anna Patil College Of Engineering
678,Jaywant College Of Engineering & Management
,Jaywant College Of Engineering and Management
679,Nagarjuna Institute Of Engineering
682,SGB Amravati University
684,Swami Ramanand Teerth Marathwada University'S Sub-Centre
695,Sai International Technical Campus
